品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱 (規格),熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱,熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克),,品牌名稱,飲料名稱 (容量/冷熱),熱量 (大卡),總糖量 (克),是否含咖啡因,咖啡因含量 (毫克)
全家 Let's Cafe,阿里山極選綜合美式（熱／中杯）,15,0,是,300,,路易莎,莊園級美式 (大/冰),23.2,0,是,333,,星巴克,冰覆盆莓風味可可燕麥那堤,595,82,是,230,,茶湯會,翡翠綠茶,181,42,是,201-500,,全家 Let's Tea,阿里山高冷烏龍 (熱/大杯),0,0,是,102,,City Cafe,蕉財進寶香蕉風味拿鐵(中杯/熱),295.7,31.3,是,149.8,,CITY TEA,喵財進寶提拉米蘇風味奶茶 (大杯/熱),316.7,39,是,118.6
全家 Let's Cafe,阿里山極選綜合美式（熱／大杯）,19,0,是,354,,路易莎,莊園級美式 (大/熱),23.2,0,是,333,,星巴克,覆盆莓風味可可燕麥那堤,660,87,是,230,,茶湯會,茉莉綠茶,181,42,是,101-200,,全家 Let's Tea,唐寧經典伯爵茶 (熱/大杯),6,0,是,76,,City Cafe,蕉財進寶香蕉風味拿鐵(大杯/冰),303.2,31.8,是,200.3,,CITY TEA,冰蘋果風味紅茶 (特大/冰),520.8,113.8,是,215.4
全家 Let's Cafe,阿里山極選綜合美式（冰／中杯）,12,0,是,209,,路易莎,莊園級拿鐵 (大/冰),381.5,54.4,是,333,,星巴克,冰覆盆莓風味可可杏仁那堤,367,51,是,230,,茶湯會,蔗香紅茶,181,42,是,101-200,,全家 Let's Tea,唐寧伯爵醇奶茶 (熱/大杯),173,12,是,114,,City Cafe,奶油爆米花風味拿鐵(大杯/冰),450.1,52.7,是,242.3,,CITY TEA,文旦肉肉青茶 (特大/冰),353.7,76.6,是,111.4
全家 Let's Cafe,阿里山極選綜合美式（冰／大杯）,16,0,是,301,,路易莎,莊園級拿鐵 (大/熱),290,33.6,是,333,,星巴克,覆盆莓風味可可杏仁那堤,378,53,是,230,,茶湯會,碧螺春,181,42,是,101-200,,全家 Let's Tea,仙女紅茶 (熱/大杯),134,32,是,76,,City Cafe,奶油爆米花風味拿鐵(大杯/熱),487.7,53.4,是,210.8,,CITY TEA,紫桑果粒小葉紅茶 (特大/冰),284.9,68.7,是,163.5
全家 Let's Cafe,阿里山極選綜合拿鐵（熱／中杯）,211,15,是,194,,路易莎,莊園級拿鐵 (燕麥奶) (大/冰),353,48.7,是,333,,星巴克,粉紅草莓風味星冰樂,853,128,否,0,,茶湯會,鐵觀音,181,42,是,101-200,,全家 Let's Tea,仙女紅茶 (冰/大杯),132,29,是,76,,City Cafe,香草焦糖風味瑪奇朵(中杯/熱),329.6,40.6,是,195.7,,CITY TEA,紫桑果粒梔子花青茶 (特大/冰),277.3,69.2,是,129.5
全家 Let's Cafe,阿里山極選綜合拿鐵（熱／大杯）,261,19,是,243,,路易莎,莊園級拿鐵 (燕麥奶) (大/熱),263.1,28.2,是,333,,星巴克,冰草莓風味抹茶那堤,465,52,是,216,,茶湯會,素胚皮丘 (純茶),181,42,是,101-200,,全家 Let's Tea,仙女醇奶茶 (熱/大杯),278,43,是,76,,City Cafe,香草焦糖風味瑪奇朵(大杯/冰),331.1,40.9,是,269.2,,CITY TEA,梔子花青茶 (大杯/熱),182.6,41.5,是,105.2
全家 Let's Cafe,阿里山極選綜合拿鐵（冰／中杯）,108,8,是,117,,路易莎,莊園級輕拿鐵 (大/冰),198.7,33,是,333,,星巴克,草莓風味抹茶那堤,530,58,是,195,,茶湯會,翡翠奶茶,549,45,是,201-500,,全家 Let's Tea,仙女醇奶茶 (冰/大杯),214,33,是,76,,City Cafe,黃金榛果太妃風味拿鐵(中杯/熱),304.2,33.8,是,205.6,,CITY TEA,梔子花青茶 (特大/冰),184.1,42.8,是,129.6
全家 Let's Cafe,阿里山極選綜合拿鐵（冰／大杯）,183,13,是,179,,路易莎,莊園級輕拿鐵 (大/熱),140.8,18.5,是,333,,星巴克,奶香烤舒芙蕾風味那堤,653,75,是,196,,茶湯會,茉莉奶茶,549,45,是,101-200,,全家 Let's Tea,四季春青茶 (熱/大杯),0,0,是,92,,City Cafe,黃金榛果太妃風味拿鐵(大杯/冰),312.2,33.9,是,298.3,,CITY TEA,琥珀小葉紅茶 (大杯/熱),180.2,42.6,是,199
全家 Let's Cafe,經典美式（熱／小杯）,7,0,是,108,,路易莎,輕奶拿鐵 (大/冰),198.7,33,是,381,,星巴克,冰奶香烤舒芙蕾風味那堤,560,65,是,196,,茶湯會,蔗香奶茶,549,45,是,101-200,,全家 Let's Tea,厚濃靜岡抹茶拿鐵 (熱/大杯),329,45,是,128,,City Cafe,文旦肉肉美式咖啡(特大/冰),320.6,73.2,是,185.2,,CITY TEA,琥珀小葉紅茶 (特大/冰),191.6,35,是,221.6
全家 Let's Cafe,經典美式（熱／中杯）,11,0,是,168,,路易莎,輕奶拿鐵 (大/熱),142.6,18.5,是,381,,星巴克,維也納風香醇那堤,886,89,是,196,,茶湯會,碧螺春奶茶,549,45,是,101-200,,全家 Let's Tea,厚濃靜岡抹茶拿鐵 (冰/大杯),301,45,是,127,,City Cafe,特選美式咖啡(大杯/熱),18.9,0,是,303.1,,CITY TEA,梔子花奶青 (大杯/熱),330.1,53.6,是,137.4
